# doc_id	para_idx	verses
# source=library/source_links.json
# threshold=build_graph.MIN_SCORE (default 0.25 unless graphs were rebuilt with --min-score)
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	663	17
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	1091	17
millennial_star:millennial_star_1840_1859_1852_july_vol_14_no_21	158	17
millennial_star:millennial_star_1840_1859_1852_november_vol_14_no_04	190	17
millennial_star:millennial_star_1840_1859_1852_november_vol_14_no_04	211	17
pioneer_journals:lucy_mack_smith_history	619	17
times_and_seasons:times_and_seasons_1839_1846_1839_july_vol_01_no_01	29	17
times_and_seasons:times_and_seasons_1839_1846_1839_july_vol_01_no_01	51	17
times_and_seasons:times_and_seasons_1839_1846_1839_july_vol_01_no_01	81	17
times_and_seasons:times_and_seasons_1839_1846_1841_february_vol_02_no_07	31	17
times_and_seasons:times_and_seasons_1839_1846_1841_january_vol_02_no_06	57	17
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	52	17
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	736	17
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	1177	17
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	1350	17
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	2395	17
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	2894	17
church_fathers:the_ante_nicene_fathers_translations_of_the_writings_of_the_fathers_down_to_a_d_325	232	16
history_of_church:vol1	1019	16
history_of_church:vol1	1882	16
history_of_church:vol1	2331	16
history_of_church:vol1	2689	16
history_of_church:vol1	3375	16
history_of_church:vol1	3404	16
journal_of_discourses:vol_06	701	16
millennial_star:millennial_star_1840_1859_1850_february_vol_17_no_05	10	16
millennial_star:millennial_star_1840_1859_1850_june_vol_18_no_20	83	16
millennial_star:millennial_star_1840_1859_1850_may_vol_18_no_22	631	16
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	7	16
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	64	16
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	91	16
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	94	16
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	158	16
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	324	16
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	602	16
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_43	75	16
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	10	16
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	176	16
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	647	16
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	742	16
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	1001	16
millennial_star:millennial_star_1840_1859_1852_june_vol_25_no_17	412	16
millennial_star:millennial_star_1840_1859_1859_december_vol_21_no_53	11286	16
pioneer_journals:wilford_woodruff_journals	2957	16
times_and_seasons:times_and_seasons_1839_1846_1839_december_vol_04_no_02	108	16
times_and_seasons:times_and_seasons_1839_1846_1840_april_vol_01_no_06	204	16
times_and_seasons:times_and_seasons_1839_1846_1840_april_vol_01_no_06	622	16
times_and_seasons:times_and_seasons_1839_1846_1840_december_vol_02_no_04	114	16
times_and_seasons:times_and_seasons_1839_1846_1840_february_vol_01_no_04	82	16
times_and_seasons:times_and_seasons_1839_1846_1840_february_vol_01_no_04	83	16
times_and_seasons:times_and_seasons_1839_1846_1840_march_vol_01_no_05	30	16
times_and_seasons:times_and_seasons_1839_1846_1840_september_vol_01_no_11	128	16
times_and_seasons:times_and_seasons_1839_1846_1841_april_vol_02_no_11	21	16
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	1172	16
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	1978	16
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	3010	16
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	3903	16
times_and_seasons:times_and_seasons_1839_1846_1844_july_vol_05_no_13	14	16
gutenberg_lds:jesus_the_christ_a_study_of_the_messiah_and_his_mission_according_to_holy_scriptures_both_ancient_and_modern	86	15
gutenberg_lds:jesus_the_christ_a_study_of_the_messiah_and_his_mission_according_to_holy_scriptures_both_ancient_and_modern	325	15
history_of_church:vol1	1043	15
history_of_church:vol1	2278	15
history_of_church:vol1	2461	15
history_of_church:vol1	3791	15
journal_of_discourses:vol_04	509	15
journal_of_discourses:vol_17	313	15
millennial_star:millennial_star_1840_1859_1850_august_vol_21_no_33	79	15
millennial_star:millennial_star_1840_1859_1850_august_vol_21_no_33	80	15
millennial_star:millennial_star_1840_1859_1850_august_vol_21_no_33	105	15
millennial_star:millennial_star_1840_1859_1850_august_vol_21_no_33	211	15
millennial_star:millennial_star_1840_1859_1850_august_vol_21_no_33	256	15
millennial_star:millennial_star_1840_1859_1850_june_vol_18_no_20	73	15
millennial_star:millennial_star_1840_1859_1850_may_vol_18_no_22	55	15
millennial_star:millennial_star_1840_1859_1850_may_vol_18_no_22	137	15
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	16	15
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	17	15
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	53	15
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	86	15
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	139	15
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	142	15
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	151	15
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	783	15
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	879	15
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	1060	15
millennial_star:millennial_star_1840_1859_1852_august_vol_14_no_27	8	15
millennial_star:millennial_star_1840_1859_1852_august_vol_14_no_27	50	15
millennial_star:millennial_star_1840_1859_1852_august_vol_14_no_27	63	15
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	38	15
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	42	15
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	155	15
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	167	15
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	262	15
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	487	15
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	646	15
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	729	15
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	981	15
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	1249	15
millennial_star:millennial_star_1840_1859_1852_july_vol_14_no_21	56	15
millennial_star:millennial_star_1840_1859_1852_july_vol_14_no_21	64	15
millennial_star:millennial_star_1840_1859_1852_june_vol_25_no_17	140	15
millennial_star:millennial_star_1840_1859_1852_november_vol_14_no_04	90	15
millennial_star:millennial_star_1840_1859_1852_november_vol_14_no_04	213	15
millennial_star:millennial_star_1840_1859_1852_november_vol_14_no_04	437	15
millennial_star:millennial_star_1840_1859_1859_december_vol_21_no_53	949	15
millennial_star:millennial_star_1840_1859_1859_december_vol_21_no_53	6355	15
millennial_star:millennial_star_1840_1859_1859_december_vol_21_no_53	15122	15
millennial_star:millennial_star_1840_1859_1859_december_vol_21_no_53	20868	15
times_and_seasons:times_and_seasons_1839_1846_1840_april_vol_01_no_06	472	15
times_and_seasons:times_and_seasons_1839_1846_1840_december_vol_02_no_04	33	15
times_and_seasons:times_and_seasons_1839_1846_1840_february_vol_01_no_04	28	15
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	55	15
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	2151	15
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	2871	15
times_and_seasons:times_and_seasons_1839_1846_1841_june_vol_02_no_15	3031	15
church_fathers:a_select_library_of_the_nicene_and_post_nicene_fathers_of_the_christian_church	586	14
gutenberg_lds:jesus_the_christ_a_study_of_the_messiah_and_his_mission_according_to_holy_scriptures_both_ancient_and_modern	409	14
history_of_church:vol1	522	14
history_of_church:vol1	992	14
millennial_star:millennial_star_1840_1859_1850_august_vol_21_no_33	35	14
millennial_star:millennial_star_1840_1859_1850_august_vol_21_no_33	77	14
millennial_star:millennial_star_1840_1859_1850_june_vol_18_no_20	25	14
millennial_star:millennial_star_1840_1859_1850_june_vol_18_no_20	115	14
millennial_star:millennial_star_1840_1859_1850_may_vol_18_no_22	147	14
millennial_star:millennial_star_1840_1859_1850_may_vol_18_no_22	224	14
millennial_star:millennial_star_1840_1859_1850_may_vol_18_no_22	405	14
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	4	14
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	52	14
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	79	14
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	195	14
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	326	14
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	496	14
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	986	14
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	994	14
millennial_star:millennial_star_1840_1859_1852_april_vol_14_no_09	1001	14
millennial_star:millennial_star_1840_1859_1852_august_vol_14_no_26	30	14
millennial_star:millennial_star_1840_1859_1852_august_vol_14_no_27	14	14
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	8	14
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	201	14
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	235	14
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	238	14
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	336	14
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	341	14
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	416	14
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	485	14
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	648	14
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	749	14
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	823	14
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	979	14
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	1008	14
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	1013	14
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	1080	14
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	1133	14
millennial_star:millennial_star_1840_1859_1852_december_vol_14_no_44	1247	14
millennial_star:millennial_star_1840_1859_1852_july_vol_14_no_21	4	14
millennial_star:millennial_star_1840_1859_1852_july_vol_14_no_21	174	14
millennial_star:millennial_star_1840_1859_1852_july_vol_14_no_21	547	14
millennial_star:millennial_star_1840_1859_1852_june_vol_25_no_17	49	14
millennial_star:millennial_star_1840_1859_1852_june_vol_25_no_17	108	14
millennial_star:millennial_star_1840_1859_1852_june_vol_25_no_17	341	14
millennial_star:millennial_star_1840_1859_1852_november_vol_14_no_04	207	14
millennial_star:millennial_star_1840_1859_1853_september_vol_15_no_36	307	14
millennial_star:millennial_star_1840_1859_1854_february_vol_16_no_05	526	14
millennial_star:millennial_star_1840_1859_1858_december_vol_20_no_51	85	14
